url_path,views_total,views_unique
/equinor/power-platform-skills/pull/6,46,1
/equinor/power-platform-skills,34,5
/equinor/power-platform-skills/pulls,23,1
/equinor/power-platform-skills/pull/6/checks,12,1
/equinor/power-platform-skills/actions/new,4,1
/equinor/power-platform-skills/branches,4,1
/equinor/power-platform-skills/security/code-scanning,4,1
/equinor/power-platform-skills/tree/main,3,2
/equinor/power-platform-skills/tree/main/.github,3,1
/equinor/power-platform-skills/tree/main/.github/agents,3,1
